"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1987-01-07";NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;200;200;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;300;100;NA;NA;NA;NA;NA;NA;200;NA;NA;1200;NA;100;100;400;3000;NA;NA;200;NA;5600
"1987-02-18";NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;NA;NA;NA;200;NA;NA;3200;NA;NA
"1987-03-19";NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;300;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;1500;NA;NA;100;NA;NA;NA;900;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;3200;NA;NA;NA;1100;NA;100;NA;NA;NA;NA
"1987-04-21";NA;NA;300;NA;NA;100;NA;NA;NA;100;NA;NA;NA;200;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;2500;NA;NA;300;NA;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2700;200;NA;NA;18000;NA;NA;NA;NA;NA;NA
"1987-05-05";NA;NA;NA;NA;NA;200;NA;NA;600;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3500;NA;NA;300;NA;NA;NA;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1300;NA;NA;NA;400;NA;NA;NA;NA;NA;300
"1987-05-22";NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;4000;NA;400;100;NA;NA;NA;1800;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;3100;NA;300;7200;700;14600;NA;NA;NA;NA;100
"1987-06-17";NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;200;NA;400;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2200;NA;NA;NA;NA;NA;NA;300;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;200;400;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-30";NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;1200;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1600;NA;800;NA;NA;NA;NA;600;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;2900;1800;200;100;700;NA;NA;NA;NA;NA;NA
"1987-07-15";NA;NA;NA;NA;NA;100;NA;NA;400;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;600;NA;200;NA;NA;NA;NA;400;1032000;NA;NA;NA;NA;NA;NA;200;NA;NA;1600;300;300;NA;300;200;NA;NA;NA;NA;100
"1987-09-23";NA;NA;NA;NA;NA;100;NA;NA;27200;NA;NA;NA;NA;1200;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;700;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;800;900;NA;100;100;3200;NA;NA;100;NA;NA
