"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;300;400;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;500;100;NA;NA;NA;1000;NA;NA;200;NA;NA;NA;NA;NA;100;NA;2000;NA;NA;1100;NA;600
"1992-02-05";NA;NA;1000;NA;200;NA;NA;NA;1100;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;100;NA;6000;3900;NA;100;NA;NA;NA;NA;900;500;NA;900;NA;2300;1500;NA;1900
"1992-03-04";NA;NA;NA;NA;NA;NA;NA;NA;19600;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;2500;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1500;2000;NA;NA;NA;NA;300;NA;NA;900;NA;1000;NA;500;NA;NA;1600
"1992-03-18";NA;NA;NA;NA;3640;NA;NA;NA;104520;NA;NA;3640;NA;NA;3120;0;NA;1560;NA;NA;NA;NA;NA;39000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1560;NA;NA;NA;NA;10920;NA;NA;NA;NA;NA;520;1040;4680;2080;NA;NA;NA;NA;NA;NA;NA
"1992-04-02";NA;NA;NA;NA;NA;NA;NA;NA;27700;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;100;1200;NA;NA;NA;NA;NA;1200;NA;291300
"1992-04-21";NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;0;NA;NA;400;NA;NA;NA;NA;5800;900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;200;NA;NA;NA;1800;NA;NA;100;NA;NA;200;1000;1300;4800;NA;300;NA;NA;NA;NA;300
"1992-05-05";NA;NA;NA;NA;NA;NA;NA;400;5000;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;22500;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3400;NA;NA;200;NA;NA;NA;NA;6800;12800;NA;NA;NA;NA;200;NA;13200
"1992-05-18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;21600;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;200;200;NA;9600;NA;NA;NA;NA;200;NA;600
"1992-06-04";NA;NA;NA;NA;NA;NA;NA;2200;9600;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;21200;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;1200;NA;NA;NA;10200;NA;NA;600;NA;NA;NA;200;3000;7800;NA;NA;NA;NA;200;NA;1200
"1992-06-18";NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;9600;1000;NA;NA;NA;NA;NA;NA;5000;NA;NA;NA;NA;600;NA;NA;NA;NA;1400;NA;NA;NA;NA;NA;NA;NA;2800;3000;NA;14400;NA;NA;NA;NA;600
