"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1987-08-31";NA;NA;"1000";"62500";"9000";NA;NA;NA;"46000";NA;"130500";"2000";NA;NA;NA;NA;"5500";"3000";NA;"4000";"24000";NA;NA;NA;NA;"7500";NA;NA;NA;NA;"1400";NA;"15600";NA;NA;"8500"
"1987-09-14";NA;NA;"400";"13600";"6800";NA;"600";NA;"1400";"2200";"20000";"300";NA;NA;NA;"11400";NA;"100";NA;NA;"400";NA;NA;NA;NA;"700";"200";NA;NA;NA;"700";NA;"900";NA;NA;"4800"
"1987-10-28";NA;"300";NA;NA;"3600";NA;"200";NA;"300";"2800";"28800";"1400";"200";NA;NA;NA;NA;"3200";"700";"1800";"4000";NA;"200";NA;"1000";"3800";NA;NA;NA;NA;NA;"200";"1200";NA;NA;"14800"
"1988-01-19";NA;"100";NA;"200";"1600";NA;NA;NA;NA;NA;"600";"1900";"100";NA;"1900";NA;NA;NA;"400";NA;"900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";"200";NA;NA;"6100"
"1988-02-22";NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;"1600";"800";"1200";"200";"3400";"200";NA;NA;"2100";"1400";NA;NA;NA;NA;NA;"1700";NA;"200";NA;NA;NA;"1600";"400";NA;NA;"3300"
"1988-03-21";"1600";NA;NA;"1000";"12800";NA;"8800";NA;"2000";"8800";"1400";"5600";"8800";NA;NA;"1600";NA;"400";"217600";"34400";"9400";NA;NA;NA;NA;"5400";NA;NA;NA;NA;NA;NA;NA;NA;NA;"18000"
"1988-04-12";NA;"4600";NA;"2270000";"8600";NA;"600";NA;NA;"15200";"12200";"6000";"16000";NA;NA;NA;NA;"31000";NA;"188000";"2400";NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;"700";NA;NA;"200";"1400"
"1988-04-26";NA;NA;NA;"152000";"6300";NA;"2800";"2100";NA;"3200";"62300";NA;"39200";NA;NA;"100";NA;"225400";"4900";"74200";"21700";NA;"200";NA;NA;"1200";NA;NA;NA;NA;"900";NA;NA;NA;NA;"8400"
"1988-05-09";NA;NA;NA;"15000";NA;NA;NA;NA;NA;NA;"48200";NA;"33200";NA;NA;NA;NA;"44800";NA;NA;"2800";NA;NA;"200";NA;"4600";"300";NA;"3200";NA;NA;"200";"1000";NA;NA;"14900"
"1988-06-13";NA;NA;NA;"177200";"1000";NA;NA;NA;"200";"1600";NA;"400";NA;NA;NA;NA;"4000";"145000";NA;"800";NA;NA;NA;NA;NA;"1400";"200";NA;"100";NA;"14200";"3600";"3000";NA;NA;"15600"
"1988-06-27";NA;NA;NA;"1560000";"14300";NA;NA;NA;NA;"400";NA;"800";"200";NA;NA;NA;NA;"208000";NA;NA;NA;NA;"1400";NA;NA;"1200";NA;NA;"100";NA;"600";"1300";NA;NA;"1100";"21600"
"1988-07-11";NA;"500";"3500";"464000";"5600";NA;NA;"4000";NA;"15500";"42000";"3600";"4000";NA;NA;NA;NA;"5000";NA;"7000";NA;NA;"10500";NA;NA;"52500";NA;NA;"1500";NA;"71000";"18100";"24000";NA;NA;"29500"
"1988-08-08";NA;NA;NA;"900";"1900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"351300";NA;NA;NA;NA;"2200";NA;NA;NA;NA;"59800"
"1988-08-22";NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"1000";"1000";NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;"542400";NA;NA;NA;NA;"24000";"300";NA;NA;NA;"409200"
"1988-09-05";NA;"1200";NA;"600";"1200";NA;"200";NA;NA;NA;"2000";"1600";NA;NA;NA;"600";NA;"1600";NA;"400";NA;NA;"400";"1400";NA;"2501000";"400";"2200";NA;NA;"5800";"600";"6000";NA;NA;"15300"
"1988-09-20";NA;"1300";NA;"413500";"9900";NA;"1300";NA;NA;"8100";"9900";"1300";"69300";NA;NA;"1300";NA;"22900";"81900";"4000";"2700";NA;NA;NA;NA;"6200";NA;"400";NA;"1300";"2700";"6700";"6300";NA;NA;"29700"
"1988-10-04";NA;"11000";NA;"10000";NA;NA;"1000";NA;"500";NA;"25500";NA;"1500";NA;NA;"500";NA;"1000";NA;"2000";NA;NA;"2500";"500";"400";"92000";"7500";"2000";NA;"100";NA;"2000";"22000";NA;NA;"71400"
"1988-10-18";NA;"800";NA;"6300";"2100";NA;"100";NA;NA;NA;"6500";NA;NA;NA;NA;"300";NA;"4100";NA;"200";NA;NA;NA;NA;NA;"500";NA;NA;NA;NA;NA;"100";NA;NA;NA;"1000"
"1988-11-07";NA;"600";NA;"2000";"1200";NA;"400";NA;NA;NA;"17000";"200";NA;NA;NA;"100";NA;"6400";"2600";"3000";"400";NA;NA;NA;NA;"6600";"800";NA;NA;NA;NA;NA;"3600";NA;NA;"248600"
"1988-11-28";NA;NA;NA;"11400";"2800";NA;"400";"1000";"400";"4000";"1600";"800";"600";NA;NA;NA;NA;"21200";"1600";NA;"1000";NA;NA;NA;NA;"400";"200";NA;NA;NA;NA;NA;"1600";NA;NA;"16000"
"1988-12-08";NA;"100";NA;NA;"1100";NA;"100";NA;NA;NA;"4400";NA;NA;NA;NA;"300";NA;"1600";NA;NA;"400";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"4800"
"1988-12-20";NA;"200";NA;"200";"1600";NA;NA;NA;NA;NA;NA;"1000";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;"3800";"400";NA;NA;NA;NA;"1800";"400";NA;NA;"4800"
