"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1987-05-18";NA;NA;NA;"6900";"500";NA;NA;NA;NA;"800";"1100";"2200";NA;NA;NA;NA;"1300";"500";"300";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"33600";NA;"100";NA;NA;"300"
"1987-06-01";"100";NA;NA;"24600";NA;NA;NA;"100";NA;NA;"1200";"1700";NA;NA;NA;"300";"200";"1000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";"300";"700";NA;NA;"3000"
"1987-06-09";NA;NA;NA;"12800";NA;NA;NA;NA;NA;NA;"3400";"3200";"200";NA;NA;"400";"200";"800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"8500";"100";"500";NA;NA;"10700"
"1987-06-15";NA;NA;NA;"7400";"100";NA;NA;"100";NA;"7200";"3600";"7400";"2200";NA;NA;NA;"7600";NA;NA;"600";NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;"15400";"1000";"6200";NA;NA;"14100"
"1987-06-23";NA;NA;NA;"15000";NA;NA;NA;NA;NA;NA;NA;"3200";"2000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2000";NA;NA;NA;"7300"
"1987-06-30";NA;NA;NA;"400";"400";"400";NA;NA;NA;NA;NA;"5900";"200";NA;NA;NA;NA;NA;"8e+05";"800";NA;NA;NA;NA;NA;"5600";NA;NA;NA;NA;"2400";NA;"4300";NA;NA;"5800"
"1987-07-08";NA;NA;NA;NA;"800";NA;NA;NA;NA;NA;NA;"48800";"58400";NA;NA;"200";NA;NA;"5800";NA;NA;NA;"100";NA;NA;"700";NA;NA;NA;NA;"19600";"400";"7400";NA;NA;"22400"
"1987-07-15";NA;NA;NA;"3600";"2200";"400";NA;NA;NA;NA;NA;"16200";"26600";NA;NA;NA;"200";NA;"7e+06";"800";NA;NA;NA;NA;NA;"2500";NA;NA;NA;NA;"12600";"4200";"22600";NA;NA;"36700"
"1987-07-20";NA;NA;NA;"600";"600";NA;NA;NA;NA;NA;NA;"8600";"400";NA;NA;NA;NA;NA;"13000";NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"600";"1800";NA;NA;NA;"74500"
"1987-08-04";NA;NA;NA;"5400";"100";"6400";NA;NA;NA;"1400";"61800";"17400";"5400";NA;NA;NA;"600";NA;NA;NA;NA;NA;"200";NA;NA;"1000";NA;NA;"100";NA;"5000";"3200";"5700";NA;NA;"14000"
"1987-08-10";NA;NA;NA;"600";"1000";NA;NA;NA;NA;NA;NA;"3600";"30200";NA;NA;NA;"4600";NA;"1000";"100";NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"7100";"3800";"9300";NA;NA;"5300"
"1987-08-17";NA;NA;NA;"5400";"200";NA;NA;NA;NA;NA;"1000";NA;"600";NA;NA;NA;"800";NA;"836000";"2000";NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;"242200";"955500";"7200";NA;NA;"945100"
"1987-08-26";NA;NA;NA;"259000";"600";"394000";NA;NA;NA;NA;"3e+05";"1500";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"159400";"3300";"13800";NA;NA;"4800"
"1987-09-29";NA;NA;NA;"250300";"100";"800";NA;NA;NA;NA;NA;"300";"700";NA;NA;"400";NA;NA;"3e+05";"600";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"4500";"2200";"600";NA;NA;"1700"
"1987-10-06";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";"100";NA;"900";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1100";"100";NA;NA;NA;"1800"
"1987-10-13";NA;NA;NA;NA;"400";NA;NA;NA;NA;NA;"100";"1700";"100";NA;NA;"500";NA;NA;"900";"100";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"1600";"700";NA;NA;NA;"1500"
