"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1987-04-06";NA;NA;2000;NA;400;NA;NA;NA;NA;300;NA;2900;NA;NA;NA;0;NA;6600;NA;300;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;7700;NA;2700;6100;NA;NA;NA;NA;NA;200;2800;NA;NA;100;100;NA;NA;600;231500;NA;300;400;NA;100
"1987-05-21";NA;NA;NA;NA;NA;NA;NA;6600;700;NA;NA;200;NA;NA;NA;400;NA;100;NA;700;NA;NA;NA;6700;400;NA;NA;NA;NA;NA;NA;14700;NA;NA;1000;NA;3700;18400;NA;NA;NA;NA;NA;1000;1400;NA;NA;500;NA;NA;NA;100;30000;NA;NA;200;NA;33800
"1987-06-01";NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;300;NA;NA;NA;500;0;100;NA;NA;NA;NA;200;1200;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;5100;NA;400;3100;NA;NA;NA;NA;200;200;800;NA;NA;300;0;NA;NA;NA;4000;NA;100;NA;NA;16300
"1987-06-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;100
"1987-06-19";NA;NA;NA;NA;600;NA;NA;500;NA;NA;NA;4400;NA;NA;NA;0;NA;100;NA;NA;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;200;NA;NA;31400;NA;2200;2700;NA;NA;NA;NA;NA;NA;4000;NA;NA;100;NA;NA;NA;NA;2200;NA;NA;100;NA;5300
"1987-07-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;NA;NA;0;NA;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;2800;NA;100;1400;NA;NA;NA;NA;NA;NA;4000;NA;NA;1100;NA;NA;NA;NA;NA;NA;100;NA;NA;NA
"1987-07-16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;2800;NA;NA;1500;NA;NA;NA;NA;300;NA;100;NA;NA;NA
"1987-07-23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;100;NA;400;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;3500;NA;NA;NA;NA;NA
"1987-07-27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;NA;1800;NA;200;600;NA;NA;NA;NA;NA;NA;400;NA;NA;600;NA;NA;NA;NA;600;NA;300;NA;NA;NA
"1987-08-06";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;NA;NA;NA
"1987-08-13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;500;NA;100;NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;NA;1400;NA;100;NA;NA;NA
"1987-08-20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3800;NA;NA;100;NA;1100;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;NA
"1987-08-27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1300;NA;NA;NA;0;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2200;NA;NA;600;NA;300;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;100;NA;NA;NA;1900;1300;NA;NA;NA;NA;NA
"1987-09-03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;300;NA;700;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;1500;NA;NA;NA;NA;NA
"1987-09-10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3400;NA;NA;1200;NA;1000;NA;NA;NA;NA;NA;NA;NA;1500;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA
"1987-09-24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;5300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-10-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA
"1987-11-26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-12-10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-01-14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-02-11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;900;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-03-11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8700;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;300;NA;NA;NA
