"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1987-01-07";NA;NA;NA;"900";NA;NA;"100";NA;"200";"400";NA;"300";"100";NA;NA;"200";"100";"100";"3000";"200";NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;"1200";NA;"400";NA;NA;"5600"
"1987-02-18";NA;NA;NA;NA;"200";NA;NA;NA;"500";NA;NA;"100";NA;NA;NA;NA;NA;NA;"200";"3200";NA;NA;"300";NA;NA;NA;NA;NA;NA;NA;"1400";NA;NA;NA;NA;NA
"1987-03-19";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;"900";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;"400";NA;NA;NA;NA;"3200";NA;"1100";NA;NA;"1900"
"1987-04-21";"300";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;"700";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;"100";NA;NA;NA;NA;"2700";"200";"18000";NA;NA;"2900"
"1987-05-05";NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;NA;"1400";NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;"1300";NA;"400";NA;NA;"3900"
"1987-05-22";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;"400";"1800";NA;NA;NA;NA;"300";"7200";"14600";NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"3100";NA;"700";NA;NA;"4300"
"1987-06-17";NA;NA;NA;"600";"200";"400";NA;NA;NA;NA;NA;"300";"400";NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1000";"200";NA;NA;NA;"2200"
"1987-06-30";NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;"800";"600";"400";NA;NA;NA;"200";"100";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;"2900";"1800";"700";NA;NA;"1800"
"1987-07-15";NA;NA;NA;"400";"100";NA;NA;NA;NA;NA;"200";"400";"1032000";NA;NA;"200";"300";"100";"200";NA;NA;NA;"100";NA;NA;"100";NA;NA;NA;NA;"1600";"300";"300";NA;NA;"600"
"1987-09-23";NA;NA;NA;"27200";NA;"1200";NA;NA;NA;NA;"700";"400";NA;NA;NA;"100";NA;"100";"3200";"100";NA;NA;"100";NA;NA;"100";NA;NA;NA;NA;"800";"900";"100";NA;NA;"100"
"1987-10-12";NA;NA;NA;"300";NA;"100";NA;NA;NA;NA;"100";"1400";"1000";NA;NA;"200";NA;"600";"14200";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";"200";NA;NA;NA;"100"
"1987-10-26";NA;NA;NA;"100";NA;"1000";NA;NA;NA;NA;"200";"1000";"200";NA;NA;"100";NA;"400";NA;NA;NA;NA;"300";NA;NA;"100";NA;NA;NA;NA;"1000";"100";NA;NA;NA;NA
"1987-11-16";NA;NA;NA;"200";"3200";"200";NA;NA;NA;NA;"400";"10400";"400";NA;NA;"4000";NA;"1000";NA;"1000";NA;NA;"2300";NA;NA;"100";NA;NA;"100";NA;"500";NA;"600";NA;NA;"2200"
"1987-11-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;"100";NA;"100";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA;"500";NA;NA;NA;NA;NA
"1987-12-08";NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;"700";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;"300";NA;NA;"200"
"1987-12-28";NA;"600";NA;"11400";"400";"800";NA;"1000";NA;NA;NA;"1000";NA;NA;NA;NA;"1000";NA;"800";"82000";NA;NA;"1000";NA;NA;"300";NA;NA;NA;NA;"4600";"400";NA;NA;NA;"1500"
"1988-01-08";NA;NA;NA;"300";NA;"300";NA;NA;NA;NA;NA;"400";NA;NA;NA;"100";NA;"300";NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;"300";"200";"500";NA;NA;"1300"
"1988-01-25";"100";NA;NA;"700";NA;NA;NA;NA;NA;NA;"100";"2400";"200";NA;NA;NA;NA;NA;"1300";"600";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"500";"100";"100";NA;NA;NA
"1988-02-23";"1200";NA;NA;"3600";NA;"800";NA;"400";"600";NA;"6200";NA;"400";NA;NA;NA;"1800";"800";NA;"200";"1000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"7400";"200";"1600";NA;NA;"1800"
"1988-02-29";"600";NA;NA;"3300";"200";"1200";NA;NA;NA;NA;"900";"600";"900";NA;NA;"200";"500";NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;"2900";"200";"1300";NA;NA;"2200"
"1988-04-05";NA;NA;NA;"800";NA;NA;NA;NA;NA;NA;"800";"4200";"9400";NA;NA;"200";"200";NA;"1200";"200";"200";NA;NA;NA;NA;"100";NA;NA;NA;NA;"1000";NA;"300";NA;NA;"300"
"1988-04-11";NA;"200";NA;NA;"400";NA;NA;NA;NA;NA;"1000";"6200";"2000";NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"800";"100";"3100";NA;NA;"5800"
"1988-04-18";NA;NA;NA;"200";"1000";NA;NA;NA;NA;NA;"200";"15400";"1800";NA;NA;"1800";"400";"200";"200";NA;"2000";NA;NA;NA;"5900";NA;NA;NA;NA;NA;"28500";"100";"600";NA;NA;"3000"
"1988-05-03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1600";"100";"100";NA;NA;"300"
"1988-05-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;"100";NA;"200";NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"1200";"300";"800";NA;NA;"700"
"1988-05-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;"900";"300";NA;NA;NA;"300"
"1988-05-25";NA;NA;NA;"800";NA;NA;NA;NA;NA;NA;"600";"1600";"600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";"100";NA;NA;NA;"700"
"1988-06-06";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;"100";"900";"200";NA;NA;"200";NA;NA;"100";NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1300";"100";NA;NA;NA;"1800"
"1988-06-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"100";NA;NA;NA
"1988-06-21";NA;NA;NA;"3000";NA;"200";NA;NA;NA;NA;"9800";NA;NA;NA;NA;NA;"400";"1000";"200";NA;"600";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3400";"200";NA;NA;NA;NA
"1988-07-06";NA;NA;NA;"600";"600";"200";NA;NA;NA;NA;"800";NA;"400";NA;NA;NA;NA;NA;"200";NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3800";"1800";NA;NA;NA;"2400"
"1988-07-20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";"700";NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";"200";"1200";NA;NA;NA
"1988-08-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4400";"400";NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"800";NA;"200";NA;NA;"1200"
"1988-09-13";NA;NA;NA;"1600";NA;"800";NA;NA;NA;NA;"14400";"600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;"200";NA;NA;"600"
"1988-09-27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"800";"100";NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900";"200";"200";NA;NA;"1700"
"1988-10-04";NA;NA;NA;NA;"400";NA;NA;NA;NA;NA;"200";"3600";"100";NA;NA;"800";NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;"2300";"400";"100";NA;NA;"1600"
"1988-10-18";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;"9200";"400";NA;NA;"1400";NA;"200";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1800";NA;"1200";NA;NA;"1400"
"1988-11-22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4000";"600";NA;NA;"400";NA;NA;NA;NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"800"
"1988-11-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500";NA;"100";NA;NA;"300"
"1988-12-22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1000";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2200"
"1989-01-02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;"300"
"1989-01-10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"2800";NA;NA;NA;NA;NA;NA;NA;"1500";NA;NA;NA;NA;"200"
"1989-01-18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";NA;"1400";NA;NA;"3800"
"1989-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4800";"600";NA;NA;NA;NA;"1600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";"33200";NA;"26000";NA;NA;"3200"
"1989-02-13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1500";"800";NA;NA;NA;NA;"900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"8000";NA;"1600";NA;NA;"6900"
"1989-02-22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4400";"200";NA;NA;NA;NA;"2100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"18900";NA;"9400";NA;"200";"2400"
"1989-03-07";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14100";"2700";NA;NA;NA;NA;"1800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"52500";NA;"16800";NA;NA;"8100"
"1989-05-11";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;"1000";"2600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"28100";NA;"33800";NA;NA;"1600"
"1989-05-18";NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;"16800";NA;NA;NA;NA;NA;"5000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"210400";NA;"16800";NA;NA;"1600"
"1989-05-30";NA;NA;NA;"400";"200";NA;NA;NA;NA;NA;NA;"17000";"3600";NA;NA;NA;NA;"6400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20000";NA;"94000";NA;NA;"8200"
"1989-06-06";NA;NA;NA;"10200";"1200";NA;NA;NA;NA;NA;NA;"1800";"4400";NA;NA;"200";NA;"1600";"11000";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;"16200";NA;"11600";NA;"400";"1600"
"1989-06-20";NA;NA;NA;"4000";NA;NA;NA;NA;NA;NA;NA;"6000";"9000";NA;NA;NA;NA;"2600";"600";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;"23400";NA;"9400";NA;NA;"9600"
"1989-07-04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"8600";NA;NA;"800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"25400";NA;NA;NA;NA;"1800"
"1989-08-02";NA;NA;NA;"800";NA;NA;NA;NA;NA;NA;NA;"1600";"6800";NA;NA;NA;NA;"1800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"28600";NA;"26000";NA;NA;"4800"
"1989-08-17";NA;NA;NA;"400";"1400";NA;NA;NA;NA;NA;NA;"2800";"2000";NA;NA;"800";NA;"1200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15200";NA;"3200";NA;NA;"5800"
"1989-08-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"31000";NA;"5400";NA;NA;"5400"
"1989-09-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2400";"1600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"13200";NA;NA;NA;NA;"800"
"1989-09-19";"200";NA;NA;"400";"200";NA;NA;NA;NA;NA;NA;"12000";"2400";NA;NA;NA;NA;"2400";"4800";NA;NA;NA;NA;NA;NA;"400";NA;NA;NA;NA;"12600";"400";"2800";NA;NA;"4000"
"1989-10-04";NA;NA;NA;NA;"3000";NA;NA;NA;NA;NA;NA;"28800";"3000";NA;NA;"1600";NA;"4600";NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"16600";NA;"400";NA;NA;"5600"
"1989-10-24";"2800";NA;NA;"15400";"1600";NA;NA;NA;NA;NA;NA;"3000";"4800";NA;NA;NA;NA;"3600";"9600";NA;"2800";NA;"200";NA;NA;"200";NA;NA;NA;NA;"30800";NA;"4800";NA;NA;"2800"
"1989-11-21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3600";"1400";NA;NA;"200";NA;"1400";NA;NA;NA;NA;"200";NA;NA;"400";NA;NA;NA;NA;"8200";NA;"1800";NA;"200";"2400"
"1990-01-09";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;"1600";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";NA;NA;"200";NA;NA;NA;NA;"14000";NA;"3000";NA;"400";"2600"
"1990-01-23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;"12000";NA;NA;NA;NA;"2500"
"1990-02-19";NA;NA;NA;"5400";NA;NA;NA;NA;NA;NA;NA;"6800";NA;NA;NA;NA;NA;"2400";"27200";NA;"26800";NA;"1600";NA;NA;"1200";NA;NA;NA;NA;"3600";NA;"24200";NA;NA;"95100"
"1990-03-20";NA;NA;NA;"5600";NA;NA;NA;NA;NA;NA;NA;"2400";"13600";NA;NA;NA;NA;NA;"14800";NA;"800";NA;NA;NA;NA;"800";NA;NA;NA;NA;"14800";NA;"1800";NA;NA;"1600"
"1990-04-18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4000";"1600";NA;NA;NA;NA;"1600";NA;NA;"1000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"10400";NA;"600";NA;NA;"3800"
"1990-05-09";NA;NA;NA;"1000";NA;NA;NA;NA;NA;NA;NA;"800";"6400";NA;NA;NA;NA;"3200";"1200";NA;"1200";NA;NA;NA;NA;"2200";NA;NA;NA;NA;"4600";NA;NA;NA;NA;"1800"
