"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1995-10-02";NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;5200;400;NA;NA;NA;1400;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200
"1995-10-16";NA;NA;800;NA;NA;NA;NA;NA;180000;NA;NA;100;NA;4000;NA;100;NA;NA;NA;NA;NA;NA;NA;600;4000;NA;5200;NA;NA;NA;NA;22000;NA;NA;NA;NA;500;45800;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;600;NA;NA;800;53600;NA;4000;NA;NA;1200
"1995-10-30";NA;NA;2700;NA;NA;NA;NA;NA;94200;600;NA;NA;NA;2100;NA;NA;NA;NA;NA;500;NA;NA;NA;600;500;NA;900;NA;NA;NA;NA;31500;NA;NA;NA;NA;900;4500;NA;NA;NA;NA;NA;NA;NA;NA;NA;1600;600;NA;NA;NA;5400;NA;1800;NA;NA;NA
"1995-11-14";NA;NA;105000;NA;NA;NA;NA;600;24200;NA;NA;NA;NA;4800;NA;0;NA;NA;NA;1000;NA;NA;NA;5200;400;NA;400;NA;NA;NA;NA;12200;NA;NA;NA;NA;5400;13600;NA;NA;NA;NA;NA;NA;400;NA;NA;200;600;NA;NA;1200;2200;NA;600;400;NA;200
"1995-11-27";NA;NA;1700;NA;NA;NA;NA;NA;2000;400;NA;NA;NA;200;100;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;5200;3500;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA
"1995-12-11";NA;NA;NA;NA;100;NA;NA;NA;4800;NA;NA;NA;NA;NA;200;100;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;600;NA;NA;2400;NA;NA;NA;NA;3000;2100;NA;NA;NA;NA;NA;NA;900;NA;NA;200;NA;NA;NA;NA;2000;NA;400;2700;NA;200
"1995-12-26";NA;NA;NA;NA;100;NA;NA;NA;3800;800;NA;100;NA;NA;NA;100;NA;1000;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;800;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA
"1996-01-08";NA;NA;NA;NA;NA;NA;NA;NA;2400;1000;NA;NA;NA;200;NA;200;NA;100;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;200;NA;NA;NA
"1996-01-29";NA;NA;NA;NA;NA;NA;NA;NA;800;400;NA;NA;NA;NA;200;0;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA;1800;2800;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;1200;NA;300;NA;NA;1800
"1996-02-05";NA;NA;NA;NA;NA;NA;NA;NA;1800;NA;NA;NA;NA;NA;800;0;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;600;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2700;NA;NA;NA;NA;1800
